Periodo	EPU	Elástico	ED(Q=1.0)	ED(Q=1.5)	ED(Q=2)	ED(Q=3)	ED(Q=4)
0.000	310.9	310.9	163.6	163.6	163.6	148.0	148.0
0.100	400.3	360.0	203.2	187.5	174.0	136.7	121.4
0.150	447.6	384.5	220.7	196.0	176.3	131.6	112.7
0.200	385.9	409.1	238.1	203.9	178.2	127.5	106.2
0.250	362.1	433.6	255.6	211.2	180.0	124.2	101.1
0.300	345.4	458.1	273.2	218.2	181.6	121.5	97.1
0.350	344.2	482.7	291.0	224.8	183.2	119.3	93.9
0.400	349.1	507.2	308.9	231.1	184.7	117.4	91.3
0.450	353.9	531.8	326.9	237.2	186.1	115.8	89.0
0.500	356.9	556.3	345.1	243.0	187.5	114.5	87.2
0.550	366.8	580.9	363.5	248.6	188.9	113.4	85.6
0.600	376.9	605.4	382.1	254.0	190.2	112.4	84.3
0.650	417.5	629.9	400.9	259.2	191.6	111.6	83.1
0.700	461.6	654.5	419.8	264.3	192.9	111.0	82.1
0.750	486.4	679.0	438.9	269.2	194.1	110.4	81.3
0.800	486.5	703.6	458.2	274.0	195.4	109.9	80.5
0.850	477.7	728.1	477.7	278.6	196.7	109.5	79.9
0.900	448.4	752.6	497.3	283.1	197.9	109.1	79.3
0.950	415.5	777.2	517.2	287.6	199.1	108.8	78.8
1.000	399.9	801.7	537.2	291.9	200.4	108.6	78.4
1.050	413.5	826.3	557.4	296.1	201.6	108.4	78.0
1.100	426.9	850.8	577.8	300.2	202.8	108.3	77.7
1.150	439.6	875.4	598.4	304.3	204.0	108.2	77.4
1.200	451.6	899.9	619.1	308.2	205.2	108.1	77.2
1.250	475.7	924.4	640.1	312.1	206.4	108.1	77.0
1.300	517.5	949.0	661.2	315.9	207.6	108.1	76.8
1.350	561.6	973.5	682.5	319.7	208.7	108.1	76.7
1.400	606.5	998.1	704.0	323.4	209.9	108.1	76.5
1.450	673.3	1022.6	725.7	327.1	211.1	108.2	76.4
1.500	717.8	1047.2	747.5	330.6	212.3	108.2	76.4
1.550	754.5	1049.6	749.7	331.0	212.4	108.3	76.4
1.600	820.7	1049.6	749.7	331.0	212.4	108.3	76.4
1.650	829.7	1049.6	749.7	331.0	212.4	108.3	76.4
1.700	871.9	1049.6	749.7	331.0	212.4	108.3	76.4
1.750	902.5	1049.6	749.7	331.0	212.4	108.3	76.4
1.800	916.3	1049.6	749.7	331.0	212.4	108.3	76.4
1.850	950.2	1049.6	749.7	331.0	212.4	108.3	76.4
1.900	946.1	1049.6	749.7	331.0	212.4	108.3	76.4
1.950	964.1	1049.6	749.7	331.0	212.4	108.3	76.4
2.000	978.2	1049.6	749.7	331.0	212.4	108.3	76.4
2.050	987.6	1049.6	749.7	331.0	212.4	108.3	76.4
2.100	1035.6	1049.6	749.7	331.0	212.4	108.3	76.4
2.150	1049.6	1049.6	749.7	331.0	212.4	108.3	76.4
2.200	1044.2	1049.6	749.7	331.0	212.4	108.3	76.4
2.250	995.4	1049.6	749.7	331.0	212.4	108.3	76.4
2.300	940.9	1049.6	749.7	331.0	212.4	108.3	76.4
2.350	893.0	1049.6	749.7	331.0	212.4	108.3	76.4
2.400	851.1	1049.6	749.7	331.0	212.4	108.3	76.4
2.450	818.5	1049.6	749.7	331.0	212.4	108.3	76.4
2.500	778.6	1049.6	749.7	331.0	212.4	108.3	76.4
2.550	740.7	1049.6	749.7	331.0	212.4	108.3	76.4
2.600	705.8	1049.6	749.7	331.0	212.4	108.3	76.4
2.650	659.9	1049.6	749.7	331.0	212.4	108.3	76.4
