Periodo	EPU	Elástico	ED(Q=1.0)	ED(Q=1.5)	ED(Q=2)	ED(Q=3)	ED(Q=4)
				ESPECTROS DE PELIGRO UNIFORME POR FAMILIA Y EPOCA
	|	 TOTAL			|	 SUBDUCCIÓN			|	 PROFUNDIDAD INTERMEDIA
Periodo	| ACT	EF1	EF2	EF3	| ACT	EF1	EF2	EF3	| ACT	EF1	EF2	EF3
2.850	500.4	408.0	329.3	269.8	461.7	376.4	303.9	248.9	252.9	206.1	166.4	136.3	
2.900	474.1	384.6	313.3	257.0	436.7	354.2	288.5	236.7	238.9	193.8	157.8	129.5	
2.950	448.7	363.0	298.3	245.7	412.5	333.7	274.2	225.9	225.4	182.3	149.8	123.4	
3.000	423.9	343.5	284.0	237.2	388.9	315.2	260.6	217.6	212.2	172.0	142.2	118.7	
3.050	397.5	324.8	268.8	228.9	364.2	297.6	246.2	209.7	201.8	164.9	136.5	116.2	
3.100	372.8	307.2	254.4	222.1	341.1	281.0	232.7	203.2	192.1	158.3	131.1	114.4	
3.150	349.6	290.6	241.0	214.2	319.3	265.4	220.1	195.6	182.9	152.0	126.1	112.1	
3.200	329.4	274.8	230.4	205.9	300.3	250.5	210.0	187.7	175.1	146.0	122.4	109.4	
3.250	307.9	257.1	219.1	195.2	277.8	232.0	197.7	176.1	167.8	140.1	119.4	106.4	
3.300	287.7	240.4	209.5	184.8	256.6	214.4	186.8	164.8	161.0	134.5	117.2	103.4	
3.350	268.7	224.5	200.0	174.7	236.7	197.7	176.2	153.9	154.6	129.1	115.1	100.5	
3.400	250.6	210.8	189.6	165.5	217.7	183.2	164.7	143.8	148.4	124.9	112.3	98.0	
3.450	235.1	200.8	180.5	158.5	202.6	173.0	155.6	136.6	142.4	121.6	109.3	96.0	
3.500	220.4	191.7	171.3	152.0	188.2	163.7	146.3	129.8	136.6	118.9	106.2	94.2	
3.550	206.4	183.7	162.3	145.8	174.6	155.4	137.2	123.3	131.1	116.7	103.1	92.6	
3.600	193.9	175.0	153.5	139.6	162.3	146.4	128.5	116.8	126.4	114.1	100.1	91.0	
3.650	185.4	167.9	147.4	134.7	154.5	139.9	122.8	112.2	122.8	111.2	97.6	89.3	
3.700	177.8	160.6	141.9	130.6	147.4	133.1	117.6	108.3	119.7	108.1	95.6	87.9	
3.750	171.4	153.3	136.8	126.6	141.3	126.4	112.8	104.4	117.4	105.0	93.7	86.7	
3.800	165.1	146.1	132.0	122.7	135.4	119.8	108.2	100.6	115.1	101.9	92.0	85.5	
3.850	160.3	141.3	129.1	120.5	130.1	114.6	104.7	97.8	112.6	99.2	90.6	84.6	
3.900	155.4	137.2	126.1	118.3	124.7	110.1	101.2	95.0	109.9	97.0	89.2	83.7	
3.950	150.3	133.6	123.2	116.1	119.3	106.0	97.8	92.1	107.1	95.2	87.8	82.7	
4.000	145.2	130.3	120.9	113.9	113.9	102.2	94.8	89.3	104.3	93.6	86.8	81.8	
4.050	139.2	126.3	117.7	110.9	108.4	98.3	91.6	86.3	101.8	92.4	86.1	81.1	
4.100	133.4	122.4	114.5	107.9	103.0	94.5	88.4	83.3	99.4	91.2	85.3	80.4	
4.150	128.3	118.5	111.3	104.9	98.3	90.7	85.2	80.3	97.6	90.1	84.6	79.7	
4.200	123.7	114.4	108.1	101.9	93.9	86.8	82.0	77.3	96.0	88.7	83.9	79.0	
4.250	121.1	112.6	106.4	100.3	91.0	84.6	80.0	75.3	94.5	87.9	83.1	78.3	
4.300	118.8	110.8	104.8	98.7	88.3	82.4	77.9	73.4	93.3	87.0	82.3	77.5	
4.350	116.4	109.1	103.1	97.2	85.6	80.2	75.8	71.4	92.0	86.2	81.5	76.8	
4.400	114.1	107.3	101.5	95.6	82.9	78.0	73.8	69.5	90.7	85.4	80.7	76.0	
4.450	111.1	105.1	99.4	93.6	79.8	75.5	71.4	67.2	89.1	84.4	79.8	75.1	
4.500	108.6	103.0	97.3	91.7	76.9	73.0	69.0	65.0	87.9	83.4	78.8	74.3	
4.550	106.3	100.8	95.3	89.8	74.3	70.4	66.6	62.7	86.9	82.4	77.9	73.4	
4.600	104.0	98.6	93.2	87.8	71.6	67.9	64.2	60.5	85.9	81.4	77.0	72.5	
4.650	103.0	97.7	92.3	87.0	70.7	67.0	63.4	59.7	84.9	80.5	76.1	71.7	
4.700	102.1	96.8	91.5	86.2	69.8	66.2	62.6	59.0	83.9	79.6	75.2	70.9	
4.750	101.1	95.8	90.6	85.4	68.9	65.4	61.8	58.2	83.0	78.7	74.4	70.1	
4.800	100.1	94.9	89.7	84.5	68.0	64.5	61.0	57.5	82.0	77.7	73.5	69.2	
4.850	99.5	94.3	89.1	84.0	67.7	64.2	60.7	57.2	81.3	77.0	72.8	68.6	
4.900	98.8	93.7	88.5	83.4	67.4	63.9	60.4	56.9	80.5	76.3	72.2	68.0	
4.950	98.1	93.0	87.9	82.9	67.1	63.7	60.2	56.7	79.8	75.6	71.5	67.4	
5.000	97.4	92.4	87.3	82.3	66.8	63.4	59.9	56.4	79.0	74.9	70.8	66.7	
